ParticipantID,Stimulus,Complexity,Distraction,PressedKey,CorrectKey,ReactionTime,Timestamp
2,#00008B,Pre-attentive,No,71,Yes,0:00:01.527854,2019-05-15 09:38:37.894136
2,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.131932,2019-05-15 09:38:40.028218
2,21,Attentive,No,72,Yes,0:00:00.937508,2019-05-15 09:38:41.968230
2,45,Attentive,Yes,71,No,0:00:01.102180,2019-05-15 09:38:44.072743
2,#B80000,Pre-attentive,No,72,Yes,0:00:01.444257,2019-05-15 09:38:46.623072
2,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.326449,2019-05-15 09:38:48.956114
2,2,Attentive,No,72,No,0:00:01.633071,2019-05-15 09:38:51.590063
2,19,Attentive,Yes,72,Yes,0:00:00.893104,2019-05-15 09:38:53.485141
2,#00008B,Pre-attentive,No,71,Yes,0:00:01.150077,2019-05-15 09:38:55.646780
2,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.117322,2019-05-15 09:38:57.766855
2,26,Attentive,No,71,Yes,0:00:00.773618,2019-05-15 09:38:59.542852
2,43,Attentive,Yes,72,Yes,0:00:01.107639,2019-05-15 09:39:01.652766
3,11,Attentive,No,72,Yes,0:00:00.739728,2019-05-15 10:08:49.331718
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.810117,2019-05-15 10:08:51.143310
3,47,Attentive,Yes,72,Yes,0:00:01.016982,2019-05-15 10:08:53.164331
3,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.684396,2019-05-15 10:08:54.852502
3,44,Attentive,No,71,Yes,0:00:00.821465,2019-05-15 10:08:56.675750
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.527239,2019-05-15 10:08:58.204869
3,19,Attentive,Yes,72,Yes,0:00:01.220829,2019-05-15 10:09:00.545113
3,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.048324,2019-05-15 10:09:02.595187
3,9,Attentive,No,72,Yes,0:00:00.810177,2019-05-15 10:09:04.405990
3,#B80000,Pre-attentive,No,72,Yes,0:00:00.796511,2019-05-15 10:09:06.205025
3,21,Attentive,Yes,71,No,0:00:00.989379,2019-05-15 10:09:08.196774
3,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.826359,2019-05-15 10:09:10.027745
3,47,Attentive,No,72,Yes,0:00:00.738342,2019-05-15 10:09:11.768909
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.662989,2019-05-15 10:09:13.436917
3,23,Attentive,Yes,72,Yes,0:00:01.134110,2019-05-15 10:09:15.573501
3,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.059781,2019-05-15 10:09:17.635406
3,18,Attentive,No,71,Yes,0:00:00.759062,2019-05-15 10:09:19.396547
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.644170,2019-05-15 10:09:21.047137
3,41,Attentive,Yes,72,Yes,0:00:00.907467,2019-05-15 10:09:22.957812
3,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.071160,2019-05-15 10:09:25.031186
3,2,Attentive,No,71,Yes,0:00:00.873269,2019-05-15 10:09:26.906104
3,#B80000,Pre-attentive,No,72,Yes,0:00:00.684632,2019-05-15 10:09:28.592804
3,9,Attentive,Yes,72,Yes,0:00:01.053086,2019-05-15 10:09:30.647713
3,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.789048,2019-05-15 10:09:32.441720
3,26,Attentive,No,71,Yes,0:00:00.692146,2019-05-15 10:09:34.134762
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.750952,2019-05-15 10:09:35.888203
3,12,Attentive,Yes,71,Yes,0:00:00.891184,2019-05-15 10:09:37.783292
3,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.912707,2019-05-15 10:09:39.698979
3,44,Attentive,No,71,Yes,0:00:01.289420,2019-05-15 10:09:41.995188
3,#B80000,Pre-attentive,No,72,Yes,0:00:00.901437,2019-05-15 10:09:43.900610
3,12,Attentive,Yes,71,Yes,0:00:01.275675,2019-05-15 10:09:46.178536
3,#B80000,Pre-attentive,Yes,72,Yes,0:00:00.809537,2019-05-15 10:09:47.990123
3,26,Attentive,No,71,Yes,0:00:00.630609,2019-05-15 10:09:49.625398
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.616994,2019-05-15 10:09:51.244549
3,14,Attentive,Yes,71,Yes,0:00:00.855175,2019-05-15 10:09:53.102466
3,#00008B,Pre-attentive,Yes,71,Yes,0:00:00.803559,2019-05-15 10:09:54.909392
3,46,Attentive,No,71,Yes,0:00:00.774227,2019-05-15 10:09:56.686165
3,#00008B,Pre-attentive,No,71,Yes,0:00:00.580091,2019-05-15 10:09:58.284997
3,45,Attentive,Yes,72,Yes,0:00:01.049709,2019-05-15 10:10:00.338762
3,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.003202,2019-05-15 10:10:02.343116
4,#B80000,Pre-attentive,Yes,72,Yes,0:00:00.905224,2019-05-15 10:20:16.946233
4,24,Attentive,Yes,71,Yes,0:00:01.022610,2019-05-15 10:20:18.970963
4,#B80000,Pre-attentive,No,72,Yes,0:00:00.772217,2019-05-15 10:20:20.746316
4,48,Attentive,No,71,Yes,0:00:00.733315,2019-05-15 10:20:22.482764
