event; timestamp (ISO); user_id; sentence_number; time (ms); trail_name
key; 2019-06-05T22:17:17; 2; 1; 0; NT
key; 2019-06-05T22:17:18; 2; 1; 0; NT
key; 2019-06-05T22:17:18; 2; 1; 0; NT
word; 2019-06-05T22:17:18; 2; 1; 1126; NT
key; 2019-06-05T22:17:19; 2; 1; 0; NT
key; 2019-06-05T22:17:19; 2; 1; 0; NT
key; 2019-06-05T22:17:19; 2; 1; 0; NT
key; 2019-06-05T22:17:19; 2; 1; 0; NT
word; 2019-06-05T22:17:19; 2; 1; 853; NT
key; 2019-06-05T22:17:20; 2; 1; 0; NT
key; 2019-06-05T22:17:20; 2; 1; 0; NT
word; 2019-06-05T22:17:20; 2; 1; 363; NT
key; 2019-06-05T22:17:20; 2; 1; 0; NT
key; 2019-06-05T22:17:20; 2; 1; 0; NT
key; 2019-06-05T22:17:20; 2; 1; 0; NT
word; 2019-06-05T22:17:20; 2; 1; 736; NT
key; 2019-06-05T22:17:21; 2; 1; 0; NT
key; 2019-06-05T22:17:21; 2; 1; 0; NT
key; 2019-06-05T22:17:21; 2; 1; 0; NT
key; 2019-06-05T22:17:21; 2; 1; 0; NT
key; 2019-06-05T22:17:21; 2; 1; 0; NT
key; 2019-06-05T22:17:22; 2; 1; 0; NT
sentence; 2019-06-05T22:17:22; 2; 1; 4940; NT
key; 2019-06-05T22:17:22; 2; 2; 0; IT
key; 2019-06-05T22:17:23; 2; 2; 0; IT
key; 2019-06-05T22:17:24; 2; 2; 0; IT
key; 2019-06-05T22:17:24; 2; 2; 0; IT
word; 2019-06-05T22:17:24; 2; 2; 1118; IT
key; 2019-06-05T22:17:25; 2; 2; 0; IT
key; 2019-06-05T22:17:26; 2; 2; 0; IT
word; 2019-06-05T22:17:27; 2; 2; 2598; IT
key; 2019-06-05T22:17:28; 2; 2; 0; IT
key; 2019-06-05T22:17:28; 2; 2; 0; IT
key; 2019-06-05T22:17:29; 2; 2; 0; IT
