timestamp (ISO); user_id; trial; target_distance; target_size; movement_time (ms); start_pos_x; start_pos_y; end_pos_x; end_pos_y; click_offset_x; click_offset_y; was_error; pointing_technique; trial_name
2019-05-29T09:10:51; 2; 17; 300; 30; 1175; 550; 175; 248; 213; 4; -1; False; False; PH
2019-05-29T09:10:52; 2; 18; 150; 30; 1079; 248; 213; 311; 77; 0; 0; False; True; NL
2019-05-29T09:10:53; 2; 19; 300; 30; 1128; 302; 88; 601; 67; 0; 0; False; True; NH
2019-05-29T09:10:54; 2; 20; 150; 30; 921; 610; 63; 749; 98; 7; -1; False; False; PL
2019-05-29T09:10:55; 2; 21; 300; 30; 956; 749; 98; 469; 176; -8; 4; False; False; PH
2019-05-29T09:10:56; 2; 22; 150; 30; 1160; 469; 176; 476; 325; 0; 0; False; True; NL
2019-05-29T09:10:58; 2; 23; 300; 30; 1237; 489; 321; 266; 120; 0; 0; False; True; NH
2019-05-29T09:10:59; 2; 24; 150; 30; 974; 275; 118; 364; 230; 1; 7; False; False; PL
2019-05-29T09:11:00; 2; 25; 300; 30; 1143; 364; 230; 651; 341; -1; -18; False; False; PH
2019-05-29T09:11:01; 2; 26; 150; 30; 1008; 651; 341; 567; 216; 0; 0; False; True; NL
2019-05-29T09:11:02; 2; 27; 300; 30; 1069; 575; 226; 338; 41; 0; 0; False; True; NH
2019-05-29T09:11:03; 2; 28; 150; 30; 1161; 337; 37; 489; 74; -7; 1; False; False; PL
2019-05-29T09:11:04; 2; 29; 300; 30; 1057; 489; 74; 775; 193; -9; -1; False; False; PH
2019-05-29T09:11:05; 2; 30; 150; 30; 1404; 775; 193; 637; 131; 0; 0; False; True; NL
2019-05-29T09:11:06; 2; 31; 300; 30; 971; 632; 131; 357; 253; 0; 0; False; True; NH
2019-05-29T09:11:07; 2; 32; 150; 30; 1007; 367; 253; 407; 104; 3; 5; False; False; PL
2019-05-29T09:11:09; 2; 33; 300; 30; 1153; 407; 104; 582; 334; 5; 9; False; False; PH
2019-05-29T09:11:10; 2; 34; 150; 30; 1053; 582; 334; 433; 352; 0; 0; False; True; NL
2019-05-29T09:11:11; 2; 35; 300; 30; 1113; 438; 344; 144; 281; 0; 0; False; True; NH
2019-05-29T09:11:12; 2; 36; 150; 30; 1110; 147; 268; 121; 124; 2; -4; False; False; PL
2019-05-29T09:11:13; 2; 37; 300; 30; 1250; 121; 124; 327; 346; 2; -6; False; False; PH
2019-05-29T09:11:14; 2; 38; 150; 30; 980; 327; 346; 355; 198; 0; 0; False; True; NL
2019-05-29T09:11:15; 2; 39; 300; 30; 1137; 355; 207; 629; 84; 0; 0; False; True; NH
2019-05-29T09:00:48; 3; 0; 150; 30; 1311; 418; 209; 553; 145; 0; 0; False; True; NL
2019-05-29T09:00:49; 3; 1; 150; 30; 1010; 555; 148; 429; 64; -3; 8; False; False; PL
2019-05-29T09:00:51; 3; 2; 300; 30; 1828; 429; 64; 491; 357; 0; 0; False; True; NH
2019-05-29T09:00:52; 3; 3; 300; 30; 1347; 494; 359; 526; 64; 0; -3; False; False; PH
2019-05-29T09:00:53; 3; 4; 150; 30; 1211; 526; 64; 675; 69; 0; 0; False; True; NL
2019-05-29T09:00:55; 3; 5; 150; 30; 1110; 682; 72; 748; 219; -4; -9; False; False; PL
2019-05-29T09:00:56; 3; 6; 300; 30; 1639; 748; 219; 466; 321; 0; 0; False; True; NH
2019-05-29T09:00:57; 3; 7; 300; 30; 1197; 460; 318; 719; 157; -4; 2; False; False; PH
2019-05-29T09:00:58; 3; 8; 150; 30; 1128; 719; 157; 708; 306; 0; 0; False; True; NL
2019-05-29T09:00:59; 3; 9; 150; 30; 1008; 711; 305; 560; 300; 1; 10; False; False; PL
2019-05-29T09:01:01; 3; 10; 300; 30; 1295; 560; 300; 270; 222; 0; 0; False; True; NH
2019-05-29T09:01:02; 3; 11; 300; 30; 1175; 286; 221; 562; 82; -6; 7; False; False; PH
2019-05-29T09:01:03; 3; 12; 150; 30; 1033; 562; 82; 689; 161; 0; 0; False; True; NL
2019-05-29T09:01:04; 3; 13; 150; 30; 1215; 686; 161; 702; 312; 12; -3; False; False; PL
2019-05-29T09:01:06; 3; 14; 300; 30; 1524; 702; 312; 402; 332; 0; 0; False; True; NH
2019-05-29T09:01:07; 3; 15; 300; 30; 1346; 404; 323; 502; 32; -5; 5; False; False; PH
2019-05-29T09:01:08; 3; 16; 150; 30; 1184; 502; 32; 352; 45; 0; 0; False; True; NL
2019-05-29T09:01:09; 3; 17; 150; 30; 1003; 355; 37; 263; 154; 1; 2; False; False; PL
2019-05-29T09:01:10; 3; 18; 300; 30; 1151; 263; 154; 517; 312; 0; 0; False; True; NH
2019-05-29T09:01:12; 3; 19; 300; 30; 1091; 516; 313; 247; 186; -5; 4; False; False; PH
2019-05-29T09:01:12; 3; 20; 150; 30; 975; 247; 186; 215; 332; 0; 0; False; True; NL
2019-05-29T09:01:14; 3; 21; 150; 30; 1184; 226; 325; 91; 271; -5; 0; False; False; PL
2019-05-29T09:01:15; 3; 22; 300; 30; 1086; 91; 271; 389; 297; 0; 0; False; True; NH
2019-05-29T09:01:16; 3; 23; 300; 30; 1111; 391; 304; 678; 227; 2; 0; False; False; PH
2019-05-29T09:01:17; 3; 24; 150; 30; 882; 678; 227; 535; 273; 0; 0; False; True; NL
2019-05-29T09:01:18; 3; 25; 150; 30; 1012; 536; 272; 410; 187; -2; 7; False; False; PL
2019-05-29T09:01:19; 3; 26; 300; 30; 1034; 410; 187; 158; 350; 0; 0; False; True; NH
2019-05-29T09:01:20; 3; 27; 300; 30; 1139; 167; 366; 53; 88; -3; 1; False; False; PH
2019-05-29T09:01:21; 3; 28; 150; 30; 1023; 53; 88; 167; 184; 0; 0; False; True; NL
2019-05-29T09:01:22; 3; 29; 150; 30; 963; 176; 181; 288; 61; -11; 8; False; False; PL
2019-05-29T09:01:23; 3; 30; 300; 30; 1094; 288; 61; 261; 359; 0; 0; False; True; NH
2019-05-29T09:01:24; 3; 31; 300; 30; 993; 258; 353; 302; 61; -2; -5; False; False; PH
2019-05-29T09:01:25; 3; 32; 150; 30; 1065; 302; 61; 451; 74; 0; 0; False; True; NL
2019-05-29T09:01:26; 3; 33; 150; 30; 894; 464; 79; 368; 203; 7; -2; False; False; PL
2019-05-29T09:01:27; 3; 34; 300; 30; 1004; 368; 203; 78; 125; 0; 0; False; True; NH
2019-05-29T09:01:28; 3; 35; 300; 30; 1052; 68; 128; 365; 247; -22; 3; False; False; PH
2019-05-29T09:01:29; 3; 36; 150; 30; 1163; 365; 247; 217; 220; 0; 0; False; True; NL
2019-05-29T09:01:30; 3; 37; 150; 30; 973; 217; 207; 194; 347; -5; 7; False; False; PL
2019-05-29T09:01:31; 3; 38; 300; 30; 980; 194; 347; 374; 107; 0; 0; False; True; NH
2019-05-29T09:01:32; 3; 39; 300; 30; 1148; 374; 112; 661; 48; 4; -8; False; False; PH
2019-05-29T09:01:52; 4; 0; 300; 30; 1109; 419; 190; 701; 269; 6; 3; False; False; PH
2019-05-29T09:01:54; 4; 1; 300; 30; 1151; 701; 269; 449; 105; 0; 0; False; True; NH
2019-05-29T09:01:54; 4; 2; 150; 30; 907; 443; 102; 500; 254; -3; -11; False; False; PL
2019-05-29T09:01:55; 4; 3; 150; 30; 938; 500; 254; 413; 131; 0; 0; False; True; NL
2019-05-29T09:01:56; 4; 4; 300; 30; 1044; 420; 120; 183; 310; 3; -1; False; False; PH
2019-05-29T09:01:58; 4; 5; 300; 30; 1138; 183; 310; 482; 299; 0; 0; False; True; NH
2019-05-29T09:01:59; 4; 6; 150; 30; 1088; 492; 292; 615; 361; 9; 1; False; False; PL
2019-05-29T09:02:00; 4; 7; 150; 30; 1086; 615; 361; 739; 277; 0; 0; False; True; NL
2019-05-29T09:02:01; 4; 8; 300; 30; 1207; 744; 286; 478; 120; 6; 15; False; False; PH
2019-05-29T09:02:02; 4; 9; 300; 30; 1100; 478; 120; 769; 47; 0; 0; False; True; NH
2019-05-29T09:02:03; 4; 10; 150; 30; 1001; 782; 65; 763; 218; -14; -6; False; False; PL
2019-05-29T09:02:05; 4; 11; 150; 30; 1496; 763; 218; 757; 367; 0; 0; False; True; NL
2019-05-29T09:02:05; 4; 12; 300; 30; 924; 761; 356; 470; 292; -2; 1; False; False; PH
2019-05-29T09:02:07; 4; 13; 300; 30; 1125; 470; 292; 236; 103; 0; 0; False; True; NH
2019-05-29T09:02:08; 4; 14; 150; 30; 1268; 234; 94; 390; 107; -6; 2; False; False; PL
2019-05-29T09:02:09; 4; 15; 150; 30; 1077; 390; 107; 242; 80; 0; 0; False; True; NL
2019-05-29T09:02:10; 4; 16; 300; 30; 1161; 232; 72; 312; 358; -2; 3; False; False; PH
2019-05-29T09:02:11; 4; 17; 300; 30; 1115; 312; 358; 47; 217; 0; 0; False; True; NH
2019-05-29T09:02:12; 4; 18; 150; 30; 1103; 47; 208; 154; 323; -4; -5; False; False; PL
2019-05-29T09:02:13; 4; 19; 150; 30; 975; 154; 323; 302; 341; 0; 0; False; True; NL
2019-05-29T09:02:14; 4; 20; 300; 30; 1111; 315; 343; 528; 136; 0; -5; False; False; PH
2019-05-29T09:02:16; 4; 21; 300; 30; 1192; 528; 136; 747; 340; 0; 0; False; True; NH
2019-05-29T09:02:17; 4; 22; 150; 30; 1207; 745; 334; 645; 230; -4; -3; False; False; PL
2019-05-29T09:02:18; 4; 23; 150; 30; 986; 645; 230; 743; 343; 0; 0; False; True; NL
2019-05-29T09:02:19; 4; 24; 300; 30; 1090; 747; 341; 519; 148; -1; 0; False; False; PH
2019-05-29T09:02:20; 4; 25; 300; 30; 1091; 519; 148; 254; 288; 0; 0; False; True; NH
2019-05-29T09:02:21; 4; 26; 150; 30; 1150; 258; 272; 315; 133; 4; 1; False; False; PL
2019-05-29T09:02:22; 4; 27; 150; 30; 947; 315; 133; 376; 270; 0; 0; False; True; NL
2019-05-29T09:02:23; 4; 28; 300; 30; 1087; 375; 278; 83; 210; -1; 5; False; False; PH
2019-05-29T09:02:24; 4; 29; 300; 30; 1092; 83; 210; 364; 312; 0; 0; False; True; NH
2019-05-29T09:02:25; 4; 30; 150; 30; 978; 360; 319; 253; 226; -2; -9; False; False; PL
2019-05-29T09:02:26; 4; 31; 150; 30; 906; 253; 226; 345; 344; 0; 0; False; True; NL
2019-05-29T09:02:27; 4; 32; 300; 30; 1023; 339; 340; 452; 57; -5; 2; False; False; PH
2019-05-29T09:02:28; 4; 33; 300; 30; 1088; 452; 57; 271; 296; 0; 0; False; True; NH
2019-05-29T09:02:29; 4; 34; 150; 30; 1154; 271; 285; 416; 318; 1; 0; False; False; PL
2019-05-29T09:02:30; 4; 35; 150; 30; 895; 416; 318; 418; 168; 0; 0; False; True; NL
2019-05-29T09:02:31; 4; 36; 300; 30; 1115; 418; 174; 116; 153; 2; 5; False; False; PH
2019-05-29T09:02:33; 4; 37; 300; 30; 1148; 116; 153; 399; 250; 0; 0; False; True; NH
2019-05-29T09:02:34; 4; 38; 150; 30; 1140; 387; 256; 258; 179; 0; 2; False; False; PL
2019-05-29T09:02:35; 4; 39; 150; 30; 1389; 258; 179; 314; 39; 0; 0; False; True; NL
